v8-version,5,1,281,88,0
shared-library,"/home/orlando/.nvm/versions/node/v6.9.2/bin/node",0x00400000,0x01bbb000
shared-library,"/lib/x86_64-linux-gnu/libc-2.23.so",0x7f6442bd6000,0x7f6442d95000
shared-library,"/lib/x86_64-linux-gnu/libpthread-2.23.so",0x7f6442f9f000,0x7f6442fb7000
shared-library,"/lib/x86_64-linux-gnu/libgcc_s.so.1",0x7f64431bc000,0x7f64431d2000
shared-library,"/lib/x86_64-linux-gnu/libm-2.23.so",0x7f64433d2000,0x7f64434da000
shared-library,"/usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.21",0x7f64436db000,0x7f644384d000
shared-library,"/lib/x86_64-linux-gnu/librt-2.23.so",0x7f6443a5d000,0x7f6443a64000
shared-library,"/lib/x86_64-linux-gnu/libdl-2.23.so",0x7f6443c65000,0x7f6443c68000
shared-library,"/lib/x86_64-linux-gnu/ld-2.23.so",0x7f6443e69000,0x7f6443e8f000
shared-library,"[vdso]",0x7fff11ca6000,0x7fff11ca8000
shared-library,"[vsyscall]",0xffffffffff600000,0xffffffffff601000
profiler,"begin",1
tick,0x1031130,1911,0,0x0,4
tick,0x7f6442d23086,3032,0,0x0,4
tick,0xf764db,4097,0,0x0,4
tick,0x7f6442d22f04,5198,0,0x0,4
tick,0xf774eb,6271,0,0x0,4
tick,0xf77d88,7359,0,0x0,4
tick,0xf75754,8532,0,0x0,4
tick,0xf764df,9531,0,0x0,4
tick,0xcb0266,10852,0,0x0,1
tick,0xf80550,11921,0,0x0,1
tick,0x7f6442c27689,13028,0,0x0,1
code-creation,Stub,3,0x3d2d2ea06000,454,"CallConstructStub"
code-creation,Stub,3,0x3d2d2ea061e0,539,"CreateAllocationSiteStub"
code-creation,Stub,3,0x3d2d2ea06400,2421,"RecordWriteStub"
code-creation,Stub,3,0x3d2d2ea06d80,388,"StoreBufferOverflowStub"
code-creation,Stub,3,0x3d2d2ea06f20,2380,"RecordWriteStub"
code-creation,Stub,3,0x3d2d2ea07880,577,"CEntryStub"
code-creation,Stub,3,0x3d2d2ea07ae0,431,"CreateWeakCellStub"
code-creation,Stub,3,0x3d2d2ea07ca0,2422,"RecordWriteStub"
code-creation,Stub,3,0x3d2d2ea08620,2376,"RecordWriteStub"
code-creation,Builtin,5,0x3d2d2ea08f80,168,"Construct"
code-creation,Builtin,5,0x3d2d2ea09040,114,"ConstructFunction"
code-creation,Builtin,5,0x3d2d2ea090c0,259,"ConstructBoundFunction"
code-creation,Stub,3,0x3d2d2ea091e0,392,"CEntryStub"
code-creation,Builtin,5,0x3d2d2ea09380,121,"ConstructProxy"
code-creation,Builtin,5,0x3d2d2ea09400,406,"CallFunction_ReceiverIsAny"
code-creation,Stub,3,0x3d2d2ea095a0,435,"ToObjectStub"
